state,date,total,covid
Kentucky,2020-02-01 00:00:00,556,34
Kentucky,2020-02-02 00:00:00,366,19
Kentucky,2020-02-03 00:00:00,418,35
Kentucky,2020-02-04 00:00:00,524,39
Kentucky,2020-02-05 00:00:00,522,31
Kentucky,2020-02-06 00:00:00,649,33
Kentucky,2020-02-07 00:00:00,647,36
Kentucky,2020-02-08 00:00:00,459,22
Kentucky,2020-02-09 00:00:00,395,21
Kentucky,2020-02-10 00:00:00,717,30
Kentucky,2020-02-11 00:00:00,743,39
Kentucky,2020-02-12 00:00:00,772,35
Kentucky,2020-02-13 00:00:00,852,35
Kentucky,2020-02-14 00:00:00,779,38
Kentucky,2020-02-15 00:00:00,512,21
Kentucky,2020-02-16 00:00:00,361,16
Kentucky,2020-02-17 00:00:00,468,31
Kentucky,2020-02-18 00:00:00,765,30
Kentucky,2020-02-19 00:00:00,806,32
Kentucky,2020-02-20 00:00:00,889,44
Kentucky,2020-02-21 00:00:00,893,33
Kentucky,2020-02-22 00:00:00,562,21
Kentucky,2020-02-23 00:00:00,396,19
Kentucky,2020-02-24 00:00:00,827,47
Kentucky,2020-02-25 00:00:00,877,84
Kentucky,2020-02-26 00:00:00,892,93
Kentucky,2020-02-27 00:00:00,929,135
Kentucky,2020-02-28 00:00:00,878,121
Kentucky,2020-02-29 00:00:00,511,79
Kentucky,2020-03-01 00:00:00,429,67
Kentucky,2020-03-02 00:00:00,826,167
Kentucky,2020-03-03 00:00:00,847,163
Kentucky,2020-03-04 00:00:00,965,155
Kentucky,2020-03-05 00:00:00,883,144
Kentucky,2020-03-06 00:00:00,994,209
Kentucky,2020-03-07 00:00:00,564,124
Kentucky,2020-03-08 00:00:00,409,113
Kentucky,2020-03-09 00:00:00,645,200
Kentucky,2020-03-10 00:00:00,677,232
Kentucky,2020-03-11 00:00:00,795,328
Kentucky,2020-03-12 00:00:00,822,426
Kentucky,2020-03-13 00:00:00,755,383
Kentucky,2020-03-14 00:00:00,277,155
Kentucky,2020-03-15 00:00:00,280,154
Kentucky,2020-03-16 00:00:00,663,357
Kentucky,2020-03-17 00:00:00,754,420
Kentucky,2020-03-18 00:00:00,794,420
Kentucky,2020-03-19 00:00:00,793,438
Kentucky,2020-03-20 00:00:00,725,383
Kentucky,2020-03-21 00:00:00,292,167
Kentucky,2020-03-22 00:00:00,250,147
Kentucky,2020-03-23 00:00:00,649,349
Kentucky,2020-03-24 00:00:00,644,348
Kentucky,2020-03-25 00:00:00,804,415
Kentucky,2020-03-26 00:00:00,768,396
Kentucky,2020-03-27 00:00:00,729,370
Kentucky,2020-03-28 00:00:00,303,177
Kentucky,2020-03-29 00:00:00,264,134
Kentucky,2020-03-30 00:00:00,686,314
Kentucky,2020-03-31 00:00:00,763,365
Kentucky,2020-04-01 00:00:00,740,354
Kentucky,2020-04-02 00:00:00,745,365
Kentucky,2020-04-03 00:00:00,687,313
Kentucky,2020-04-04 00:00:00,242,133
Kentucky,2020-04-05 00:00:00,248,124
Kentucky,2020-04-06 00:00:00,618,297
Kentucky,2020-04-07 00:00:00,603,294
Kentucky,2020-04-08 00:00:00,602,277
Kentucky,2020-04-09 00:00:00,584,275
Kentucky,2020-04-10 00:00:00,526,239
Kentucky,2020-04-11 00:00:00,331,113
