state,date,total,covid
Michigan,2020-02-01 00:00:00,367,20
Michigan,2020-02-02 00:00:00,390,19
Michigan,2020-02-03 00:00:00,818,55
Michigan,2020-02-04 00:00:00,924,59
Michigan,2020-02-05 00:00:00,916,43
Michigan,2020-02-06 00:00:00,982,52
Michigan,2020-02-07 00:00:00,1016,43
Michigan,2020-02-08 00:00:00,320,25
Michigan,2020-02-09 00:00:00,400,14
Michigan,2020-02-10 00:00:00,937,37
Michigan,2020-02-11 00:00:00,983,51
Michigan,2020-02-12 00:00:00,1045,31
Michigan,2020-02-13 00:00:00,1043,38
Michigan,2020-02-14 00:00:00,901,39
Michigan,2020-02-15 00:00:00,367,31
Michigan,2020-02-16 00:00:00,336,17
Michigan,2020-02-17 00:00:00,626,28
Michigan,2020-02-18 00:00:00,1076,66
Michigan,2020-02-19 00:00:00,1057,24
Michigan,2020-02-20 00:00:00,1134,38
Michigan,2020-02-21 00:00:00,988,37
Michigan,2020-02-22 00:00:00,360,14
Michigan,2020-02-23 00:00:00,456,23
Michigan,2020-02-24 00:00:00,914,46
Michigan,2020-02-25 00:00:00,971,92
Michigan,2020-02-26 00:00:00,1147,129
Michigan,2020-02-27 00:00:00,1061,113
Michigan,2020-02-28 00:00:00,1154,198
Michigan,2020-02-29 00:00:00,393,64
Michigan,2020-03-01 00:00:00,405,75
Michigan,2020-03-02 00:00:00,958,145
Michigan,2020-03-03 00:00:00,989,164
Michigan,2020-03-04 00:00:00,1244,204
Michigan,2020-03-05 00:00:00,1186,201
Michigan,2020-03-06 00:00:00,925,197
Michigan,2020-03-07 00:00:00,414,109
Michigan,2020-03-08 00:00:00,349,79
Michigan,2020-03-09 00:00:00,871,259
Michigan,2020-03-10 00:00:00,974,321
Michigan,2020-03-11 00:00:00,1405,703
Michigan,2020-03-12 00:00:00,1408,866
Michigan,2020-03-13 00:00:00,1179,764
Michigan,2020-03-14 00:00:00,433,292
Michigan,2020-03-15 00:00:00,498,348
Michigan,2020-03-16 00:00:00,1198,790
Michigan,2020-03-17 00:00:00,1159,808
Michigan,2020-03-18 00:00:00,1247,810
Michigan,2020-03-19 00:00:00,1250,825
Michigan,2020-03-20 00:00:00,1194,772
