state,date,total,covid
New Mexico,2020-02-01 00:00:00,157,10
New Mexico,2020-02-02 00:00:00,159,9
New Mexico,2020-02-03 00:00:00,228,20
New Mexico,2020-02-04 00:00:00,245,15
New Mexico,2020-02-05 00:00:00,267,14
New Mexico,2020-02-06 00:00:00,238,15
New Mexico,2020-02-07 00:00:00,307,19
New Mexico,2020-02-08 00:00:00,182,10
New Mexico,2020-02-09 00:00:00,160,4
New Mexico,2020-02-10 00:00:00,343,13
New Mexico,2020-02-11 00:00:00,387,14
New Mexico,2020-02-12 00:00:00,392,12
New Mexico,2020-02-13 00:00:00,547,26
New Mexico,2020-02-14 00:00:00,487,28
New Mexico,2020-02-15 00:00:00,166,8
New Mexico,2020-02-16 00:00:00,142,12
New Mexico,2020-02-17 00:00:00,292,14
New Mexico,2020-02-18 00:00:00,523,13
New Mexico,2020-02-19 00:00:00,486,18
New Mexico,2020-02-20 00:00:00,551,19
New Mexico,2020-02-21 00:00:00,522,15
New Mexico,2020-02-22 00:00:00,181,8
New Mexico,2020-02-23 00:00:00,181,6
New Mexico,2020-02-24 00:00:00,483,27
New Mexico,2020-02-25 00:00:00,516,50
New Mexico,2020-02-26 00:00:00,569,66
New Mexico,2020-02-27 00:00:00,561,74
New Mexico,2020-02-28 00:00:00,542,80
New Mexico,2020-02-29 00:00:00,178,42
New Mexico,2020-03-01 00:00:00,212,35
New Mexico,2020-03-02 00:00:00,526,93
New Mexico,2020-03-03 00:00:00,573,107
New Mexico,2020-03-04 00:00:00,566,120
New Mexico,2020-03-05 00:00:00,613,130
New Mexico,2020-03-06 00:00:00,589,140
New Mexico,2020-03-07 00:00:00,161,56
New Mexico,2020-03-08 00:00:00,179,49
New Mexico,2020-03-09 00:00:00,503,168
New Mexico,2020-03-10 00:00:00,529,176
New Mexico,2020-03-11 00:00:00,618,273
New Mexico,2020-03-12 00:00:00,663,344
New Mexico,2020-03-13 00:00:00,614,296
New Mexico,2020-03-14 00:00:00,227,128
New Mexico,2020-03-15 00:00:00,334,169
New Mexico,2020-03-16 00:00:00,511,286
New Mexico,2020-03-17 00:00:00,552,320
New Mexico,2020-03-18 00:00:00,597,333
New Mexico,2020-03-19 00:00:00,568,328
New Mexico,2020-03-20 00:00:00,589,311
New Mexico,2020-03-21 00:00:00,243,145
New Mexico,2020-03-22 00:00:00,226,141
New Mexico,2020-03-23 00:00:00,545,308
New Mexico,2020-03-24 00:00:00,607,369
New Mexico,2020-03-25 00:00:00,583,312
New Mexico,2020-03-26 00:00:00,640,325
New Mexico,2020-03-27 00:00:00,687,330
New Mexico,2020-03-28 00:00:00,217,125
New Mexico,2020-03-29 00:00:00,245,140
New Mexico,2020-03-30 00:00:00,579,278
New Mexico,2020-03-31 00:00:00,619,311
New Mexico,2020-04-01 00:00:00,557,276
New Mexico,2020-04-02 00:00:00,640,296
New Mexico,2020-04-03 00:00:00,639,267
New Mexico,2020-04-04 00:00:00,235,125
New Mexico,2020-04-05 00:00:00,212,122
New Mexico,2020-04-06 00:00:00,530,234
New Mexico,2020-04-07 00:00:00,542,258
New Mexico,2020-04-08 00:00:00,512,238
New Mexico,2020-04-09 00:00:00,534,261
New Mexico,2020-04-10 00:00:00,459,218
New Mexico,2020-04-11 00:00:00,250,119
New Mexico,2020-04-12 00:00:00,238,125
