state,date,total,covid
Arkansas,2020-02-01 00:00:00,376,21
Arkansas,2020-02-02 00:00:00,440,31
Arkansas,2020-02-03 00:00:00,633,29
Arkansas,2020-02-04 00:00:00,642,31
Arkansas,2020-02-05 00:00:00,692,34
Arkansas,2020-02-06 00:00:00,780,27
Arkansas,2020-02-07 00:00:00,789,32
Arkansas,2020-02-08 00:00:00,391,23
Arkansas,2020-02-09 00:00:00,515,7
Arkansas,2020-02-10 00:00:00,899,32
Arkansas,2020-02-11 00:00:00,880,38
Arkansas,2020-02-12 00:00:00,1060,21
Arkansas,2020-02-13 00:00:00,1034,25
Arkansas,2020-02-14 00:00:00,933,30
Arkansas,2020-02-15 00:00:00,428,16
Arkansas,2020-02-16 00:00:00,543,17
Arkansas,2020-02-17 00:00:00,728,28
Arkansas,2020-02-18 00:00:00,1015,61
Arkansas,2020-02-19 00:00:00,1040,23
Arkansas,2020-02-20 00:00:00,1249,27
Arkansas,2020-02-21 00:00:00,984,10
Arkansas,2020-02-22 00:00:00,420,5
Arkansas,2020-02-23 00:00:00,636,28
Arkansas,2020-02-24 00:00:00,933,48
Arkansas,2020-02-25 00:00:00,734,49
Arkansas,2020-02-26 00:00:00,1322,114
Arkansas,2020-02-27 00:00:00,1177,83
Arkansas,2020-02-28 00:00:00,1190,169
Arkansas,2020-02-29 00:00:00,508,62
Arkansas,2020-03-01 00:00:00,647,57
Arkansas,2020-03-02 00:00:00,1197,157
Arkansas,2020-03-03 00:00:00,1207,167
Arkansas,2020-03-04 00:00:00,1306,194
Arkansas,2020-03-05 00:00:00,1232,188
Arkansas,2020-03-06 00:00:00,973,198
Arkansas,2020-03-07 00:00:00,347,58
Arkansas,2020-03-08 00:00:00,512,65
Arkansas,2020-03-09 00:00:00,928,263
Arkansas,2020-03-10 00:00:00,816,262
Arkansas,2020-03-11 00:00:00,1306,475
Arkansas,2020-03-12 00:00:00,1228,724
Arkansas,2020-03-13 00:00:00,1107,678
Arkansas,2020-03-14 00:00:00,510,227
Arkansas,2020-03-15 00:00:00,558,279
Arkansas,2020-03-16 00:00:00,1152,654
Arkansas,2020-03-17 00:00:00,1184,690
