state,date,total,covid
Massachusetts,2020-02-01 00:00:00,865,96
Massachusetts,2020-02-02 00:00:00,1121,67
Massachusetts,2020-02-03 00:00:00,1793,138
Massachusetts,2020-02-04 00:00:00,1963,161
Massachusetts,2020-02-05 00:00:00,2024,74
Massachusetts,2020-02-06 00:00:00,2264,78
Massachusetts,2020-02-07 00:00:00,2627,78
Massachusetts,2020-02-08 00:00:00,997,54
Massachusetts,2020-02-09 00:00:00,1429,41
Massachusetts,2020-02-10 00:00:00,3085,97
Massachusetts,2020-02-11 00:00:00,3085,157
Massachusetts,2020-02-12 00:00:00,2992,86
Massachusetts,2020-02-13 00:00:00,3560,116
Massachusetts,2020-02-14 00:00:00,3198,98
Massachusetts,2020-02-15 00:00:00,1144,80
Massachusetts,2020-02-16 00:00:00,1072,56
Massachusetts,2020-02-17 00:00:00,1853,98
Massachusetts,2020-02-18 00:00:00,3273,161
Massachusetts,2020-02-19 00:00:00,3121,103
Massachusetts,2020-02-20 00:00:00,3546,91
Massachusetts,2020-02-21 00:00:00,3261,114
Massachusetts,2020-02-22 00:00:00,1133,35
Massachusetts,2020-02-23 00:00:00,1329,90
Massachusetts,2020-02-24 00:00:00,3055,137
Massachusetts,2020-02-25 00:00:00,2454,172
Massachusetts,2020-02-26 00:00:00,3552,440
Massachusetts,2020-02-27 00:00:00,4111,497
Massachusetts,2020-02-28 00:00:00,3462,522
Massachusetts,2020-02-29 00:00:00,1147,219
Massachusetts,2020-03-01 00:00:00,1404,399
Massachusetts,2020-03-02 00:00:00,3377,653
Massachusetts,2020-03-03 00:00:00,4029,1056
Massachusetts,2020-03-04 00:00:00,3674,648
Massachusetts,2020-03-05 00:00:00,3938,698
Massachusetts,2020-03-06 00:00:00,2776,734
Massachusetts,2020-03-07 00:00:00,1219,396
Massachusetts,2020-03-08 00:00:00,982,416
Massachusetts,2020-03-09 00:00:00,2513,998
Massachusetts,2020-03-10 00:00:00,2724,1219
Massachusetts,2020-03-11 00:00:00,3324,1719
Massachusetts,2020-03-12 00:00:00,3594,2051
Massachusetts,2020-03-13 00:00:00,3239,1898
Massachusetts,2020-03-14 00:00:00,1266,890
Massachusetts,2020-03-15 00:00:00,1621,1157
Massachusetts,2020-03-16 00:00:00,3422,2291
Massachusetts,2020-03-17 00:00:00,3445,2199
Massachusetts,2020-03-18 00:00:00,3317,2173
Massachusetts,2020-03-19 00:00:00,3410,2199
Massachusetts,2020-03-20 00:00:00,3042,2079
Massachusetts,2020-03-21 00:00:00,1521,1143
Massachusetts,2020-03-22 00:00:00,1056,761
Massachusetts,2020-03-23 00:00:00,3108,2229
Massachusetts,2020-03-24 00:00:00,2835,1889
Massachusetts,2020-03-25 00:00:00,2910,2032
Massachusetts,2020-03-26 00:00:00,3238,1987
Massachusetts,2020-03-27 00:00:00,2877,1853
Massachusetts,2020-03-28 00:00:00,1316,1013
Massachusetts,2020-03-29 00:00:00,1061,752
Massachusetts,2020-03-30 00:00:00,2777,1837
Massachusetts,2020-03-31 00:00:00,2797,1789
Massachusetts,2020-04-01 00:00:00,2939,1917
Massachusetts,2020-04-02 00:00:00,3136,2048
Massachusetts,2020-04-03 00:00:00,2848,1547
Massachusetts,2020-04-04 00:00:00,1310,837
Massachusetts,2020-04-05 00:00:00,1047,773
Massachusetts,2020-04-06 00:00:00,2710,1692
Massachusetts,2020-04-07 00:00:00,2384,1432
Massachusetts,2020-04-08 00:00:00,2567,1602
Massachusetts,2020-04-09 00:00:00,2615,1579
Massachusetts,2020-04-10 00:00:00,2286,1393
Massachusetts,2020-04-11 00:00:00,1203,822
Massachusetts,2020-04-12 00:00:00,1130,756
Massachusetts,2020-04-13 00:00:00,2688,1730
Massachusetts,2020-04-14 00:00:00,2784,1626
Massachusetts,2020-04-15 00:00:00,3243,1734
Massachusetts,2020-04-16 00:00:00,3288,1848
Massachusetts,2020-04-17 00:00:00,2575,1352
Massachusetts,2020-04-18 00:00:00,1123,722
Massachusetts,2020-04-19 00:00:00,1162,776
Massachusetts,2020-04-20 00:00:00,2990,1646
Massachusetts,2020-04-21 00:00:00,3450,1990
